encoding_version,game_id,turn,seed,direction,label_source
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,0,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,1,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,2,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,3,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,4,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,5,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,6,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,7,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,8,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,9,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,10,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,11,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,12,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,13,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,14,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,15,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,16,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,17,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,18,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,19,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,20,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,21,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,22,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,23,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,24,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,25,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,26,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,27,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,28,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,29,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,30,100,left,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,31,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,32,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,33,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,34,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,35,100,down,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,36,100,right,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,37,100,up,main
3,41fa12b3-ade0-460d-b77a-962fb5872d7e,38,100,up,main
