epoch,training_loss,test_accuracy
1,1.3961259565353394,0.25304877758026123
2,1.382650811513265,0.3109756112098694
3,1.3792020705540975,0.3018292784690857
4,1.37542875512441,0.2835365831851959
5,1.3673624846140544,0.26524388790130615
6,1.3623444859186808,0.2804878056049347
7,1.3526156241099039,0.2896341383457184
8,1.3375085140864054,0.2896341383457184
9,1.3275997145970662,0.3109756112098694
10,1.3312293039957683,0.25609755516052246
11,1.3143025684356688,0.32621949911117554
12,1.2982503045399985,0.2896341383457184
13,1.280698514620463,0.3109756112098694
14,1.275224040667216,0.3048780560493469
15,1.267663215637207,0.3018292784690857
16,1.2736709206899006,0.29573169350624084
17,1.2696429478327433,0.3140243887901306
18,1.2491924387613933,0.30792683362960815
19,1.2469494450887044,0.3109756112098694
20,1.2327497075398763,0.29878050088882446
21,1.2355669790903727,0.3048780560493469
22,1.2257524382273357,0.31707316637039185
23,1.1981120322545369,0.32621949911117554
24,1.1886626036961874,0.3201219439506531
25,1.1939994694391887,0.3353658616542816
26,1.1884500993092855,0.3201219439506531
27,1.167052898089091,0.3231707215309143
28,1.1654841531117757,0.3048780560493469
29,1.1579629500706992,0.3323170840740204
30,1.1459666620890299,0.3414634168148041
